policy_id,customer_id,channel,policy_type,region,application_date,premium_amount,status,processing_time_hours,failure_reason,issuance_date
POL100000,76422,Online,Health,South,2025-12-16 04:00:00,16197.6,Issued,45.95,,2025-12-18 01:56:58.937034
POL100001,35795,Online,Health,North,2025-02-06 02:00:00,15622.82,Issued,27.36,,2025-02-07 05:21:26.633236
POL100002,20860,Online,Auto,West,2025-10-28 07:00:00,8398.96,Failed,,Underwriting Rejection,
POL100003,58158,Call Center,Auto,Central,2025-08-29 14:00:00,8092.2,Issued,60.48,,2025-09-01 02:28:30.985278
POL100004,74343,Online,Auto,North,2025-10-19 21:00:00,7290.46,Issued,84.23,,2025-10-23 09:13:45.124757
POL100005,64732,Online,Health,East,2025-12-04 06:00:00,17396.11,Issued,49.79,,2025-12-06 07:47:22.647243
POL100006,31284,Online,Life,Central,2025-09-14 03:00:00,34188.51,Issued,18.35,,2025-09-14 21:21:17.666994
POL100007,74886,Call Center,Auto,Central,2025-08-06 10:00:00,6733.54,Failed,,Duplicate Policy,
POL100008,26265,Mobile App,Auto,Central,2025-05-23 14:00:00,7215.76,Pending,,,
POL100009,36850,Mobile App,Health,North,2025-12-14 22:00:00,13980.74,Issued,14.39,,2025-12-15 12:23:22.849590
POL100010,57194,Call Center,Life,West,2025-05-11 18:00:00,25772.0,Failed,,Duplicate Policy,
POL100011,41962,Mobile App,Auto,North,2025-10-15 19:00:00,6968.94,Issued,9.28,,2025-10-16 04:16:34.693228
POL100012,67191,Online,Auto,South,2025-02-25 13:00:00,10663.4,Issued,37.6,,2025-02-27 02:35:48.799633
POL100013,64131,Online,Auto,East,2025-04-09 07:00:00,5609.94,Issued,41.94,,2025-04-11 00:56:24.922375
POL100014,36023,Mobile App,Auto,West,2025-10-25 08:00:00,7796.97,Issued,35.17,,2025-10-26 19:09:58.734371
POL100015,61090,Online,Auto,West,2025-03-01 23:00:00,11547.84,Failed,,Incomplete Application,
POL100016,21685,Agent/Broker,Auto,East,2025-06-24 23:00:00,10468.92,Issued,58.31,,2025-06-27 09:18:22.702763
POL100017,20769,Online,Life,South,2025-10-24 03:00:00,25525.7,Issued,35.25,,2025-10-25 14:14:51.579448
POL100018,79735,Mobile App,Health,Central,2025-03-17 18:00:00,17315.79,Issued,22.04,,2025-03-18 16:02:08.080376
